group,t,q,qd,tau_ext_true,r,tau_f_true
A,3.48,-0.069964968,1.5479494,0,0.17678443,0.18095899
A,3.49,-0.054027049,1.6375818,0,0.17880825,0.18275164
A,3.5,-0.037226976,1.7205279,0,0.18071308,0.18441056
A,3.51,-0.019629408,1.7972005,0,0.18269597,0.18594401
A,3.52,-0.001295582,1.8678741,0,0.18416839,0.18735748
A,3.53,0.017715363,1.9326986,0,0.18569369,0.18865397
A,3.54,0.037345242,1.9917187,0,0.18699437,0.18983437
A,3.55,0.057535879,2.0448966,0,0.1882621,0.19089793
A,3.56,0.078228393,2.0921329,0,0.1892511,0.19184266
A,3.57,0.099362685,2.1332874,0,0.19022107,0.19266575
A,3.58,0.12087713,2.1681969,0,0.19106282,0.19336394
A,3.59,0.1427084,2.1966899,0,0.19173396,0.1939338
A,3.6,0.1647915,2.2185998,0,0.19236417,0.194372
A,3.61,0.1870598,2.2337739,0,0.19273685,0.19467548
A,3.62,0.20944526,2.2420813,0,0.19312084,0.19484163
A,3.63,0.23187867,2.2434184,0,0.19313324,0.19486837
A,3.64,0.25428993,2.2377127,0,0.19339539,0.19475425
A,3.65,0.27660838,2.2249252,0,0.19317332,0.1944985
A,3.66,0.29876317,2.205052,0,0.19289958,0.19410104
A,3.67,0.32068357,2.178125,0,0.19274804,0.1935625
A,3.68,0.34229934,2.1442116,0,0.19216216,0.19288423
A,3.69,0.36354111,2.1034148,0,0.1915899,0.1920683
A,3.7,0.38434072,2.0558717,0,0.19068133,0.19111743
A,3.71,0.40463154,2.0017532,0,0.18972424,0.19003506
A,3.72,0.42434881,1.9412622,0,0.18887518,0.18882524
A,3.73,0.44342996,1.8746327,0,0.18762059,0.18749265
A,3.74,0.46181492,1.8021281,0,0.18647109,0.18604256
A,3.75,0.47944638,1.7240395,0,0.18518337,0.18448079
A,3.76,0.49627008,1.6406844,0,0.18366348,0.18281369
A,3.77,0.51223506,1.5524048,0,0.1820298,0.1810481
A,3.78,0.52729391,1.4595655,0,0.18039,0.17919131
A,3.79,0.54140296,1.3625521,0,0.17867524,0.17725104
A,3.8,0.5545225,1.2617693,0,0.17687529,0.17523539
A,3.81,0.56661694,1.1576389,0,0.17493531,0.17315278
A,3.82,0.57765501,1.0505975,0,0.17296203,0.17101195
A,3.83,0.58760986,0.94109482,0,0.1709059,0.1688219
A,3.84,0.59645919,0.82959124,0,0.16893781,0.16659183
A,3.85,0.60418535,0.71655579,0,0.16679569,0.16433118
A,3.86,0.61077543,0.60246375,0,0.16460313,0.16204986
A,3.87,0.61622126,0.4877932,0,0.16240855,0.15976166
A,3.88,0.62051945,0.37301082,0,0.16025118,0.15751777
A,3.89,0.62367083,0.25845147,0,0.15810398,0.15573804
A,3.9,0.62567528,0.14313764,0,0.15696492,0.15857389
A,3.91,0.62647324,0.0090607246,0,0.16595172,0.23360685
A,3.92,0.6264788,-1.9994326e-05,0,0.10528125,-0.24996042
A,3.93,0.62647728,-0.0013156879,0,0.030848754,-0.24742926
A,3.94,0.62646714,-0.0029943559,0,-0.038138166,-0.24424697
A,3.95,0.62645059,-0.0023732096,0,-0.10878142,-0.24541193
A,3.96,0.62640214,-0.014729748,0,-0.17892418,-0.22477792
A,3.97,0.62578395,-0.12463073,0,-0.19263198,-0.16076196
A,3.98,0.62375084,-0.28200591,0,-0.17479741,-0.15599536
A,3.99,0.62013032,-0.43951699,0,-0.16465579,-0.15880556
A,4,0.61497503,-0.58819158,0,-0.16122181,-0.16176461
A,4.01,0.60836195,-0.73354412,0.021976682,-0.15569145,-0.16467093
A,4.02,0.60029434,-0.87761845,0.043866632,-0.14189979,-0.16755237
A,4.03,0.59082452,-1.0131117,0.06558346,-0.12468852,-0.17026223
A,4.04,0.58006305,-1.135521,0.087041461,-0.10604835,-0.17271042
A,4.05,0.56815454,-1.2424092,0.10815595,-0.0868473,-0.17484818
A,4.06,0.5552601,-1.3328014,0.12884359,-0.06784816,-0.17665603
A,4.07,0.54154532,-1.4067068,0.14902275,-0.049002703,-0.17813414
A,4.08,0.52717228,-1.4647519,0.16861379,-0.030334325,-0.17929504
